,,Salud,Mercado,
Dia de carrera,Mr. Don Rico va a la universidad,-2,antiguedades,
Deudas,Mr Don Rico pide un prestamo para poder pagar estudios,0,ciencia,
Hawaii.,Mr. Don Rico toma vacaciones,+1,musica,propiedades
Hobby,Mr. Don Rico empeiza a pintar,+1,arte,
Profesional,Mr. Don Rico cambia de profesión,0,antiguedades,
They see me rollin...,Mr. Don Rico compra un auto de lujo,0,arte,
Choque,Mr. Don Rico choca su auto clásico,-3,ciencia,musica
Rodilla mala,Mr. Don Rico takes an arrow to the knee,-1,musica,propiedades
Amante del arte,Mr. Don Rico compra una coleccion de pinturas antiguas,0,propiedades,
Quiero el reloj,Mueren los padres de Mr. Don Rico,0,antiguedades,
Navegante,Mr. Don Rico compra un yate,,musica,
Rascacielos,Mr. Don Rico compra un penthouse,0,propiedades,musica
Hacienda,Mr. Don Rico tiene que pagar multas atrasadas por sus impuestos,-1,musica,
Viaje en helicoptero,Mr. Don Rico toma un viaje en helicoptero y se cae,-3,propiedades,musica
Recien casados,"Mr. Don Rico se casa. Felicidades, Mr. Don Rico",+1,antiguedades,
¿Quien da más?,Mr. Don Rico adquiere una gran colección de antiguedades en una subasta,0,antiguedades,
Bienes raices,Mr. Don Rico invierte en unos valiosos condominios,0,propiedades,
Mal viaje,Mr. Don Rico entró al mundo de las drogas,-2,musica,
Mal negocio,Mr. Don Rico la empresa quimica de Mr. Don Rico tiene un accidente durante una de sus visitas,-1,ciencia,
Curado de Guayaba,Mr. Don Rico pasó demasiado tiempo inhalando solventes mientras pintaba,-1,musica,antiguedades